x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,target
-0.885347786,-0.318384308,-0.681881576,-0.525338957,-0.173138987,-0.049100323,-0.730028196,0.268017268,0.844092208,0.086955544,13.8129709
0.035804622,0.914706546,-0.779524983,0.765028395,0.616923371,-0.07227386,-0.857656229,0.717169615,-0.90092311,-0.332584741,21.42561771
-0.236608857,0.480133622,0.653773825,0.476751055,-0.574668729,0.368244219,0.770632501,0.816648941,0.071216259,-0.325805649,-9.472456348
0.348253757,0.887513016,-0.530694905,0.089663703,0.440671163,0.551194581,-0.533984082,-0.192554905,0.525991541,-0.941094875,7.606811021
0.208329861,-0.780879766,0.413807167,0.672347763,0.202936908,-0.898061516,-0.744547593,-0.823112118,-0.303067988,-0.614794328,0.307695549
-0.16382892,-0.977837093,-0.222515754,-0.004250759,0.059030049,0.55381107,0.836376881,0.243806141,-0.009939381,-0.387487664,-6.542315813
0.63596122,-0.440375678,-0.231912816,0.608202065,0.130332752,0.031255962,-0.847536149,-0.367453724,-0.136993971,0.833807649,16.79003972
0.499280243,0.743239736,-0.571728412,-0.743121009,-0.846480126,-0.170267278,0.801984493,-0.6622713,-0.961300561,0.438684049,-1.38324937
-0.182473094,0.189053489,-0.659440435,0.992743103,-0.361807107,-0.0328819,-0.933359086,-0.200373803,0.444197814,0.226336303,19.13425523
-0.755365845,-0.952661726,-0.113701935,-0.617737601,0.813368277,0.943081831,-0.275534992,-0.797228332,0.31674083,-0.541241982,2.5552841
0.691929622,0.017004802,-0.899207268,-0.74755973,0.932745275,-0.02396947,-0.47959828,-0.136431564,-0.385357754,-0.342861975,12.30361167
-0.480982694,-0.864520766,-0.085427712,-0.312926023,0.474206723,0.940231221,0.986229095,0.591553098,-0.518567777,-0.711171133,-7.979131774
-0.272591753,-0.669832178,-0.804441909,0.217698431,-0.349828335,-0.041128595,0.205064193,0.467251826,0.040820279,0.645433161,13.47993198
-0.641587276,0.696319041,0.083216041,-0.047145032,0.78778942,0.95840265,-0.461286914,-0.171053722,0.490319564,0.620026242,19.01605562
-0.139871088,0.305748743,-0.457470229,0.535564822,0.080353662,0.824766662,0.704039449,-0.608917074,0.405826139,0.27053076,7.197504001
0.64360303,-0.311526075,-0.420036647,-0.525455073,-0.275120354,-0.422105163,0.523785696,0.792324573,0.406741359,0.289381712,5.205836946
-0.206592728,-0.555158383,0.64750338,-0.502665435,-0.932214253,-0.21022674,-0.017365568,0.470493904,0.278130037,-0.489044682,-10.51983467
0.286849652,0.030257132,0.330678515,-0.937598473,-0.543668326,-0.196447051,-0.620742056,-0.019134891,-0.509316443,0.70571883,7.372850427
0.34534047,-0.887795069,-0.980582698,-0.832864585,-0.496718186,-0.518119754,0.303281179,0.059440912,0.332666632,0.779824244,10.29036321
0.869715979,0.619255177,0.5327261,-0.822979383,0.707971918,0.866695719,0.223040134,0.715219745,-0.054603926,-0.371676327,-5.424647504
0.909653508,0.854356257,-0.257238757,-0.671415653,-0.472113939,0.072559984,-0.296154748,-0.167959876,-0.974419915,-0.355963609,-2.569964128
0.389473983,0.540923408,0.067427577,0.477644074,0.37584028,0.243691081,-0.52704248,-0.797667757,0.108010948,-0.2523582,7.192978122
-0.22918241,-0.43272897,0.738942548,0.939716032,0.26784036,0.509762809,0.640368071,0.622019677,-0.155090925,-0.031901012,-2.995174637
0.05532932,0.926267692,-0.308893343,-0.922503659,0.220789274,0.576004975,-0.310278242,-0.01768291,0.436569195,0.380562505,11.56819888
-0.605561588,0.094710936,0.480165458,0.988232259,0.982924872,0.187771005,0.156669464,-0.069931421,0.441781742,0.11757348,10.80690044
-0.678108621,0.851509122,0.10318139,-0.438450388,-0.092396113,-0.590319783,-0.694996861,-0.813620208,-0.360027522,0.269474041,12.54132011
0.766739243,-0.21342381,-0.150035811,0.729326077,0.483149612,-0.241761764,0.528573523,0.230765718,0.939807793,-0.680341065,0.31708658
-0.087205638,-0.097280197,0.685296242,-0.831640503,-0.990348079,-0.065666195,-0.93104513,0.703051449,-0.616569699,-0.867619277,-11.15629298
-0.232193977,-0.18715924,0.947545949,0.217782704,0.091371194,0.022088486,-0.795377142,0.603453057,0.206588841,0.628957195,10.47186191
0.51070012,-0.281137464,0.325288882,-0.231043661,-0.412789302,-0.089020706,0.940581085,0.014716277,0.756566875,0.677917687,-1.909694545
-0.968544825,0.52894178,0.3646983,-0.929442836,-0.819347368,-0.886352269,-0.418684834,-0.957127155,0.653612842,-0.835388717,-5.496828123
0.049874593,0.526046451,0.093190826,-0.852805269,0.216192856,-0.57943933,-0.078447621,-0.806323364,0.206073359,-0.21095844,1.549958175
-0.081474844,-0.995725402,-0.939899985,-0.366449433,0.49246339,0.414173923,0.361610993,0.369557375,0.612613022,-0.350165155,4.090602795
0.513757705,0.276861786,-0.437422591,-0.785219573,-0.763398659,-0.344500747,0.09250745,0.324330958,0.516588412,-0.522185176,-3.854414803
-0.267880169,-0.47723673,-0.628652251,0.198233877,0.764252232,-0.642622231,0.562994333,0.475011823,-0.644779703,-0.106983252,10.42746243
-0.467106344,-0.850773931,-0.159122789,0.240766522,0.477632699,-0.821862331,0.758289227,0.530360253,0.663617318,-0.323120278,3.140169514
-0.170849299,0.936809925,0.978968978,-0.475423608,-0.757482556,0.374140542,-0.401119009,-0.718690238,0.244426622,0.883870284,4.748979497
0.487404981,0.290219027,0.730838443,-0.105658249,0.501379435,0.123495443,0.777330988,-0.231777003,0.822805678,-0.962357457,-12.53936838
-0.534268461,0.88985792,-0.163741557,0.526864286,0.053247428,-0.80270443,-0.291973883,0.508511682,-0.405505598,0.946816433,21.83492142
